Date,MMM,AXP,AMGN,AAPL,BA,CAT,CVX,CSCO,KO,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PG,CRM,TRV,UNH,VZ,V,WBA,WMT,DIS
2017-01-03,156.76771545410156,70.52462005615234,133.52484130859375,27.459938049316406,145.53367614746094,83.80213928222656,97.86785888671876,26.68877220153809,36.63402557373047,,156.76771545410156,156.76771545410156,156.76771545410156,156.76771545410156,156.76771545410156,156.76771545410156,156.76771545410156,156.76771545410156,156.76771545410156,156.76771545410156,156.76771545410156,156.76771545410156,156.76771545410156,156.76771545410156,156.76771545410156,156.76771545410156,156.76771545410156,156.76771545410156,156.76771545410156,26.68877220153809
2017-01-04,157.0054168701172,71.68075561523438,135.4205780029297,27.429203033447266,147.0634765625,83.42765808105469,97.84294891357422,26.530122756958008,36.502567291259766,,157.0054168701172,157.0054168701172,157.0054168701172,157.0054168701172,157.0054168701172,157.0054168701172,157.0054168701172,157.0054168701172,157.0054168701172,157.0054168701172,157.0054168701172,157.0054168701172,157.0054168701172,157.0054168701172,157.0054168701172,157.0054168701172,157.0054168701172,157.0054168701172,157.0054168701172,26.530122756958008
2017-01-05,156.46832275390625,70.79720306396484,135.5180206298828,27.56869125366211,147.1469268798828,82.91947174072266,97.41942596435548,26.59181785583496,36.590213775634766,,156.46832275390625,156.46832275390625,156.46832275390625,156.46832275390625,156.46832275390625,156.46832275390625,156.46832275390625,156.46832275390625,156.46832275390625,156.46832275390625,156.46832275390625,156.46832275390625,156.46832275390625,156.46832275390625,156.46832275390625,156.46832275390625,156.46832275390625,156.46832275390625,156.46832275390625,26.59181785583496
2017-01-06,156.92617797851562,70.93819427490234,138.8842315673828,27.87602996826172,147.50851440429688,82.95509338378906,97.02911376953124,26.644704818725582,36.58143997192383,,156.92617797851562,156.92617797851562,156.92617797851562,156.92617797851562,156.92617797851562,156.92617797851562,156.92617797851562,156.92617797851562,156.92617797851562,156.92617797851562,156.92617797851562,156.92617797851562,156.92617797851562,156.92617797851562,156.92617797851562,156.92617797851562,156.92617797851562,156.92617797851562,156.92617797851562,26.644704818725582
2017-01-09,156.08094787597656,71.3047866821289,140.7091064453125,28.13136100769043,146.78530883789062,82.35774230957031,96.19866943359376,26.600631713867188,36.21335220336914,,156.08094787597656,156.08094787597656,156.08094787597656,156.08094787597656,156.08094787597656,156.08094787597656,156.08094787597656,156.08094787597656,156.08094787597656,156.08094787597656,156.08094787597656,156.08094787597656,156.08094787597656,156.08094787597656,156.08094787597656,156.08094787597656,156.08094787597656,156.08094787597656,156.08094787597656,26.600631713867188
2017-01-10,155.4734344482422,72.04735565185547,140.6382293701172,28.15973281860352,147.4806671142578,83.65947723388672,95.46788787841795,26.77691078186035,35.967952728271484,,155.4734344482422,155.4734344482422,155.4734344482422,155.4734344482422,155.4734344482422,155.4734344482422,155.4734344482422,155.4734344482422,155.4734344482422,155.4734344482422,155.4734344482422,155.4734344482422,155.4734344482422,155.4734344482422,155.4734344482422,155.4734344482422,155.4734344482422,155.4734344482422,155.4734344482422,26.77691078186035
2017-01-11,156.6267852783203,72.29173278808594,138.7425079345703,28.311038970947266,147.78660583496094,84.3906021118164,96.27340698242188,26.57419204711914,35.97671890258789,,156.6267852783203,156.6267852783203,156.6267852783203,156.6267852783203,156.6267852783203,156.6267852783203,156.6267852783203,156.6267852783203,156.6267852783203,156.6267852783203,156.6267852783203,156.6267852783203,156.6267852783203,156.6267852783203,156.6267852783203,156.6267852783203,156.6267852783203,156.6267852783203,156.6267852783203,26.57419204711914
2017-01-12,156.23062133789062,72.26353454589844,137.62637329101562,28.19283103942871,146.7574920654297,83.80213928222656,96.46443939208984,26.477237701416016,35.889068603515625,,156.23062133789062,156.23062133789062,156.23062133789062,156.23062133789062,156.23062133789062,156.23062133789062,156.23062133789062,156.23062133789062,156.23062133789062,156.23062133789062,156.23062133789062,156.23062133789062,156.23062133789062,156.23062133789062,156.23062133789062,156.23062133789062,156.23062133789062,156.23062133789062,156.23062133789062,26.477237701416016
2017-01-13,156.1865997314453,72.0191421508789,138.29959106445312,28.1431884765625,147.25814819335938,84.2390365600586,96.64710998535156,26.503677368164062,35.827728271484375,,156.1865997314453,156.1865997314453,156.1865997314453,156.1865997314453,156.1865997314453,156.1865997314453,156.1865997314453,156.1865997314453,156.1865997314453,156.1865997314453,156.1865997314453,156.1865997314453,156.1865997314453,156.1865997314453,156.1865997314453,156.1865997314453,156.1865997314453,156.1865997314453,156.1865997314453,26.503677368164062
2017-01-17,156.07215881347656,72.00035095214844,137.13026428222656,28.37014961242676,146.18267822265625,83.42765808105469,96.56407165527344,26.433162689208984,36.12570571899414,,156.07215881347656,156.07215881347656,156.07215881347656,156.07215881347656,156.07215881347656,156.07215881347656,156.07215881347656,156.07215881347656,156.07215881347656,156.07215881347656,156.07215881347656,156.07215881347656,156.07215881347656,156.07215881347656,156.07215881347656,156.07215881347656,156.07215881347656,156.07215881347656,156.07215881347656,26.433162689208984
2017-01-18,157.15513610839844,72.8368911743164,137.9895477294922,28.367780685424805,146.78530883789062,83.90412902832031,96.28170776367188,26.46842384338379,36.18705368041992,,157.15513610839844,157.15513610839844,157.15513610839844,157.15513610839844,157.15513610839844,157.15513610839844,157.15513610839844,157.15513610839844,157.15513610839844,157.15513610839844,157.15513610839844,157.15513610839844,157.15513610839844,157.15513610839844,157.15513610839844,157.15513610839844,157.15513610839844,157.15513610839844,157.15513610839844,26.46842384338379
2017-01-19,157.32240295410156,72.08493041992188,136.24441528320312,28.31813621520996,147.41574096679688,83.94908905029297,95.9827651977539,26.424352645874023,36.05559539794922,,157.32240295410156,157.32240295410156,157.32240295410156,157.32240295410156,157.32240295410156,157.32240295410156,157.32240295410156,157.32240295410156,157.32240295410156,157.32240295410156,157.32240295410156,157.32240295410156,157.32240295410156,157.32240295410156,157.32240295410156,157.32240295410156,157.32240295410156,157.32240295410156,157.32240295410156,26.424352645874023
2017-01-20,157.15513610839844,71.62435913085938,137.01512145996094,28.37014961242676,147.9071807861328,85.02789306640625,95.99935150146484,26.530122756958008,36.21335220336914,,157.15513610839844,157.15513610839844,157.15513610839844,157.15513610839844,157.15513610839844,157.15513610839844,157.15513610839844,157.15513610839844,157.15513610839844,157.15513610839844,157.15513610839844,157.15513610839844,157.15513610839844,157.15513610839844,157.15513610839844,157.15513610839844,157.15513610839844,157.15513610839844,157.15513610839844,26.530122756958008
2017-01-23,157.17271423339844,71.40817260742188,135.28768920898438,28.389057159423828,146.3402862548828,84.92000579833984,95.8249740600586,26.679962158203125,36.30975341796875,,157.17271423339844,157.17271423339844,157.17271423339844,157.17271423339844,157.17271423339844,157.17271423339844,157.17271423339844,157.17271423339844,157.17271423339844,157.17271423339844,157.17271423339844,157.17271423339844,157.17271423339844,157.17271423339844,157.17271423339844,157.17271423339844,157.17271423339844,157.17271423339844,157.17271423339844,26.679962158203125
2017-01-24,154.93634033203125,72.78050231933594,134.51699829101562,28.363052368164062,148.85284423828125,86.5202407836914,96.63880920410156,26.9708194732666,36.721675872802734,,154.93634033203125,154.93634033203125,154.93634033203125,154.93634033203125,154.93634033203125,154.93634033203125,154.93634033203125,154.93634033203125,154.93634033203125,154.93634033203125,154.93634033203125,154.93634033203125,154.93634033203125,154.93634033203125,154.93634033203125,154.93634033203125,154.93634033203125,154.93634033203125,154.93634033203125,26.9708194732666
2017-01-25,155.60549926757812,72.2729263305664,136.5101776123047,28.81460952758789,155.16668701171875,88.23734283447266,97.3613052368164,27.058961868286133,36.91447830200195,,155.60549926757812,155.60549926757812,155.60549926757812,155.60549926757812,155.60549926757812,155.60549926757812,155.60549926757812,155.60549926757812,155.60549926757812,155.60549926757812,155.60549926757812,155.60549926757812,155.60549926757812,155.60549926757812,155.60549926757812,155.60549926757812,155.60549926757812,155.60549926757812,155.60549926757812,27.058961868286133
2017-01-26,155.68472290039062,72.31053161621094,135.5180206298828,28.82879638671875,156.79844665527344,87.40127563476562,96.78827667236328,27.09421730041504,36.64279174804688,,155.68472290039062,155.68472290039062,155.68472290039062,155.68472290039062,155.68472290039062,155.68472290039062,155.68472290039062,155.68472290039062,155.68472290039062,155.68472290039062,155.68472290039062,155.68472290039062,155.68472290039062,155.68472290039062,155.68472290039062,155.68472290039062,155.68472290039062,155.68472290039062,155.68472290039062,27.09421730041504
2017-01-27,156.2658233642578,72.23534393310547,139.22088623046875,28.831159591674805,155.48191833496094,88.99248504638672,94.49626922607422,27.305753707885746,36.3272819519043,,156.2658233642578,156.2658233642578,156.2658233642578,156.2658233642578,156.2658233642578,156.2658233642578,156.2658233642578,156.2658233642578,156.2658233642578,156.2658233642578,156.2658233642578,156.2658233642578,156.2658233642578,156.2658233642578,156.2658233642578,156.2658233642578,156.2658233642578,156.2658233642578,156.2658233642578,27.305753707885746
